IN_LINK_ID,OUT_LINK_ID,DAY,TIME_OF_DAY,TURN_RATIO
782790509,28426365,09-Apr-2015,00:55:00,0.92973
782790509,28426365,09-Apr-2015,01:00:00,0.93338
782790509,28426365,09-Apr-2015,01:05:00,0.93609
782790509,28426365,09-Apr-2015,01:10:00,0.94101
782790509,28426365,09-Apr-2015,01:15:00,0.93837
782790509,28426365,09-Apr-2015,01:20:00,0.93592
782790509,28426365,09-Apr-2015,01:25:00,0.94308
782790509,28426365,09-Apr-2015,01:30:00,0.94556
782790509,28426365,09-Apr-2015,01:35:00,0.94955
782790509,28426365,09-Apr-2015,01:40:00,0.94651
782790509,28426365,09-Apr-2015,01:45:00,0.9498
782790509,28426365,09-Apr-2015,01:50:00,0.95456
782790509,28426365,09-Apr-2015,01:55:00,0.95232
782790509,28426365,09-Apr-2015,02:00:00,0.95248
782790509,28426365,09-Apr-2015,02:05:00,0.94741
782790509,28426365,09-Apr-2015,02:10:00,0.95367
782790509,28426365,09-Apr-2015,02:15:00,0.95369
782790509,28426365,09-Apr-2015,02:20:00,0.95246
782790509,28426365,09-Apr-2015,02:25:00,0.95047
782790509,28426365,09-Apr-2015,02:30:00,0.94617
782790509,28426365,09-Apr-2015,02:35:00,0.94592
782790509,28426365,09-Apr-2015,02:40:00,0.94072
782790509,28426365,09-Apr-2015,02:45:00,0.94162
782790509,28426365,09-Apr-2015,02:50:00,0.9435
782790509,28426365,09-Apr-2015,02:55:00,0.94284
782790509,28426365,09-Apr-2015,03:00:00,0.94275
782790509,28426365,09-Apr-2015,03:05:00,0.93566
782790509,28426365,09-Apr-2015,03:10:00,0.93968
782790509,28426365,09-Apr-2015,03:15:00,0.94291
782790509,28426365,09-Apr-2015,03:20:00,0.94645
782790509,28426365,09-Apr-2015,03:25:00,0.95015
782790509,28426365,09-Apr-2015,03:30:00,0.95763
782790509,28426365,09-Apr-2015,03:35:00,0.9601
782790509,28426365,09-Apr-2015,03:40:00,0.95987
782790509,28426365,09-Apr-2015,03:45:00,0.96116
782790509,28426365,09-Apr-2015,03:50:00,0.96459
782790509,28426365,09-Apr-2015,03:55:00,0.96488
782790509,28426365,09-Apr-2015,04:00:00,0.96846
782790509,28426365,09-Apr-2015,04:05:00,0.96741
782790509,28426365,09-Apr-2015,04:10:00,0.96563
782790509,28426365,09-Apr-2015,04:15:00,0.95859
782790509,28426365,09-Apr-2015,04:20:00,0.96454
782790509,28426365,09-Apr-2015,04:25:00,0.96529
782790509,28426365,09-Apr-2015,04:30:00,0.96337
782790509,28426365,09-Apr-2015,04:35:00,0.96117
782790509,28426365,09-Apr-2015,04:40:00,0.96113
782790509,28426365,09-Apr-2015,04:45:00,0.96217
782790509,28426365,09-Apr-2015,04:50:00,0.96751
782790509,28426365,09-Apr-2015,04:55:00,0.96683
782790509,28426365,09-Apr-2015,05:00:00,0.96528
782790509,28426365,09-Apr-2015,05:05:00,0.96727
782790509,28426365,09-Apr-2015,05:10:00,0.97073
782790509,28426365,09-Apr-2015,05:15:00,0.9698
782790509,28426365,09-Apr-2015,05:20:00,0.96775
782790509,28426365,09-Apr-2015,05:25:00,0.96941
782790509,28426365,09-Apr-2015,05:30:00,0.96929
782790509,28426365,09-Apr-2015,05:35:00,0.96975
782790509,28426365,09-Apr-2015,05:40:00,0.96601
782790509,28426365,09-Apr-2015,05:45:00,0.96297
782790509,28426365,09-Apr-2015,05:50:00,0.96102
782790509,28426365,09-Apr-2015,05:55:00,0.95972
782790509,28426365,09-Apr-2015,06:00:00,0.95618
782790509,28426365,09-Apr-2015,06:05:00,0.9538
782790509,28426365,09-Apr-2015,06:10:00,0.94842
782790509,28426365,09-Apr-2015,06:15:00,0.94131
782790509,28426365,09-Apr-2015,06:20:00,0.93385
782790509,28426365,09-Apr-2015,06:25:00,0.92545
782790509,28426365,09-Apr-2015,06:30:00,0.91216
782790509,28426365,09-Apr-2015,06:35:00,0.9019
782790509,28426365,09-Apr-2015,06:40:00,0.89927
782790509,28426365,09-Apr-2015,06:45:00,0.89846
782790509,28426365,09-Apr-2015,06:50:00,0.89741
782790509,28426365,09-Apr-2015,06:55:00,0.89904
782790509,28426365,09-Apr-2015,07:00:00,0.89961
782790509,28426365,09-Apr-2015,07:05:00,0.90048
